Categoría;Pregunta;Respuesta
Terreno y Estudio de Suelos;¿Toda vivienda necesita estudiar el suelo antes de construir?;"La cimentación debe basarse en las condiciones reales del terreno. La E.050 permite un Informe Técnico de Suelos solo en casos limitados de terreno conocido y uniforme; no autoriza construir sin investigación."
Terreno y Estudio de Suelos;¿Qué establece el RNE sobre la necesidad del estudio de suelos?;"La cimentación debe basarse en las condiciones reales del terreno. La E.050 permite un Informe Técnico de Suelos solo en casos limitados de terreno conocido y uniforme; no autoriza construir sin investigación."
Terreno y Estudio de Suelos;¿Cómo se verifica la necesidad del estudio de suelos en obra?;"La cimentación debe basarse en las condiciones reales del terreno. La E.050 permite un Informe Técnico de Suelos solo en casos limitados de terreno conocido y uniforme; no autoriza construir sin investigación. Debe revisarse número de pisos, área, sótanos, antecedentes, exploraciones y firma profesional."
Terreno y Estudio de Suelos;¿Qué error frecuente se comete con la necesidad del estudio de suelos?;El error frecuente es construir con valores copiados de otra obra. Esto puede causar asentamientos, grietas y cimentación inadecuada.
Terreno y Estudio de Suelos;¿Qué consecuencias puede tener el error de construir con valores copiados de otra obra?;Este error puede generar asentamientos, grietas y cimentación inadecuada. La acción correcta es investigar el lote antes de diseñar.
Terreno y Estudio de Suelos;¿Por qué es importante controlar la necesidad del estudio de suelos?;"Porque una ejecución incorrecta puede causar asentamientos, grietas y cimentación inadecuada. La referencia correcta es: La cimentación debe basarse en las condiciones reales del terreno. La E.050 permite un Informe Técnico de Suelos solo en casos limitados de terreno conocido y uniforme; no autoriza construir sin investigación."
Terreno y Estudio de Suelos;¿Cuándo puede usarse un Informe Técnico de Suelos en vez de un EMS completo?;Puede usarse en el supuesto simplificado de la E.050: suelo conocido y uniforme, edificación de hasta tres pisos, sin sótano y con área de primer piso menor de 500 m², bajo responsabilidad profesional.
Terreno y Estudio de Suelos;¿Qué establece el RNE sobre el Informe Técnico de Suelos simplificado?;Puede usarse en el supuesto simplificado de la E.050: suelo conocido y uniforme, edificación de hasta tres pisos, sin sótano y con área de primer piso menor de 500 m², bajo responsabilidad profesional.
Terreno y Estudio de Suelos;¿Cómo se verifica el Informe Técnico de Suelos simplificado en obra?;Puede usarse en el supuesto simplificado de la E.050: suelo conocido y uniforme, edificación de hasta tres pisos, sin sótano y con área de primer piso menor de 500 m², bajo responsabilidad profesional. Debe revisarse que se cumplan simultáneamente todas las condiciones.
Terreno y Estudio de Suelos;¿Qué error frecuente se comete con el Informe Técnico de Suelos simplificado?;El error frecuente es usar el informe simplificado en relleno o suelo heterogéneo. Esto puede causar basar el diseño en información insuficiente.
Terreno y Estudio de Suelos;¿Qué consecuencias puede tener el error de usar el informe simplificado en relleno o suelo heterogéneo?;Este error puede generar basar el diseño en información insuficiente. La acción correcta es solicitar un EMS completo.
Terreno y Estudio de Suelos;¿Por qué es importante controlar el Informe Técnico de Suelos simplificado?;Porque una ejecución incorrecta puede causar basar el diseño en información insuficiente. La referencia correcta es: Puede usarse en el supuesto simplificado de la E.050: suelo conocido y uniforme, edificación de hasta tres pisos, sin sótano y con área de primer piso menor de 500 m², bajo responsabilidad profesional.
Terreno y Estudio de Suelos;¿Cuántas calicatas se requieren como mínimo en el caso simplificado?;La E.050 exige por lo menos tres puntos de exploración, distribuidos para representar el área de la edificación.
Terreno y Estudio de Suelos;¿Qué establece el RNE sobre los puntos de exploración del terreno?;La E.050 exige por lo menos tres puntos de exploración, distribuidos para representar el área de la edificación.
Terreno y Estudio de Suelos;¿Cómo se verifica los puntos de exploración del terreno en obra?;La E.050 exige por lo menos tres puntos de exploración, distribuidos para representar el área de la edificación. Debe revisarse cantidad, ubicación y descripción de estratos.
Terreno y Estudio de Suelos;¿Qué error frecuente se comete con los puntos de exploración del terreno?;El error frecuente es hacer una sola calicata en una esquina. Esto puede causar no detectar rellenos o capas blandas.
Terreno y Estudio de Suelos;¿Qué consecuencias puede tener el error de hacer una sola calicata en una esquina?;Este error puede generar no detectar rellenos o capas blandas. La acción correcta es ampliar la exploración.
Terreno y Estudio de Suelos;¿Por qué es importante controlar los puntos de exploración del terreno?;Porque una ejecución incorrecta puede causar no detectar rellenos o capas blandas. La referencia correcta es: La E.050 exige por lo menos tres puntos de exploración, distribuidos para representar el área de la edificación.
Terreno y Estudio de Suelos;¿Hasta qué profundidad mínima se explora el suelo en el caso simplificado?;La profundidad mínima de exploración del Informe Técnico de Suelos es 3.00 m. Un EMS puede requerir mayor profundidad según las cargas y estratos.
Terreno y Estudio de Suelos;¿Qué establece el RNE sobre la profundidad de las calicatas?;La profundidad mínima de exploración del Informe Técnico de Suelos es 3.00 m. Un EMS puede requerir mayor profundidad según las cargas y estratos.
Terreno y Estudio de Suelos;¿Cómo se verifica la profundidad de las calicatas en obra?;La profundidad mínima de exploración del Informe Técnico de Suelos es 3.00 m. Un EMS puede requerir mayor profundidad según las cargas y estratos. Debe revisarse profundidad medida, perfil y nivel de agua.
Terreno y Estudio de Suelos;¿Qué error frecuente se comete con la profundidad de las calicatas?;El error frecuente es hacer una calicata superficial. Esto puede causar no detectar suelo débil debajo de la cimentación.
Terreno y Estudio de Suelos;¿Qué consecuencias puede tener el error de hacer una calicata superficial?;Este error puede generar no detectar suelo débil debajo de la cimentación. La acción correcta es profundizar según la E.050.
Terreno y Estudio de Suelos;¿Por qué es importante controlar la profundidad de las calicatas?;Porque una ejecución incorrecta puede causar no detectar suelo débil debajo de la cimentación. La referencia correcta es: La profundidad mínima de exploración del Informe Técnico de Suelos es 3.00 m. Un EMS puede requerir mayor profundidad según las cargas y estratos.
Terreno y Estudio de Suelos;¿Se puede cimentar sobre tierra vegetal, basura o desmonte?;No. La E.050 prohíbe apoyar cimentaciones sobre turba, suelo orgánico, tierra vegetal, relleno de demolición, sanitario, industrial o no controlado.
Terreno y Estudio de Suelos;¿Qué establece el RNE sobre los suelos prohibidos como apoyo?;No. La E.050 prohíbe apoyar cimentaciones sobre turba, suelo orgánico, tierra vegetal, relleno de demolición, sanitario, industrial o no controlado.
Terreno y Estudio de Suelos;¿Cómo se verifica los suelos prohibidos como apoyo en obra?;No. La E.050 prohíbe apoyar cimentaciones sobre turba, suelo orgánico, tierra vegetal, relleno de demolición, sanitario, industrial o no controlado. Debe revisarse raíces, basura, huecos, olor y capas sueltas.
Terreno y Estudio de Suelos;¿Qué error frecuente se comete con los suelos prohibidos como apoyo?;El error frecuente es vaciar el cimiento sobre desmonte. Esto puede causar asentamientos diferenciales.
Terreno y Estudio de Suelos;¿Qué consecuencias puede tener el error de vaciar el cimiento sobre desmonte?;Este error puede generar asentamientos diferenciales. La acción correcta es retirar o mejorar el material con control técnico.
Terreno y Estudio de Suelos;¿Por qué es importante controlar los suelos prohibidos como apoyo?;Porque una ejecución incorrecta puede causar asentamientos diferenciales. La referencia correcta es: No. La E.050 prohíbe apoyar cimentaciones sobre turba, suelo orgánico, tierra vegetal, relleno de demolición, sanitario, industrial o no controlado.
Terreno y Estudio de Suelos;¿Puedo usar la capacidad portante del terreno del vecino?;No como valor automático. Sirve como antecedente, pero cada lote puede tener rellenos, humedad y estratos diferentes.
Terreno y Estudio de Suelos;¿Existe una medida mínima universal para el uso de la capacidad portante del vecino?;No como valor automático. Sirve como antecedente, pero cada lote puede tener rellenos, humedad y estratos diferentes.
Terreno y Estudio de Suelos;¿Cómo se verifica el uso de la capacidad portante del vecino en obra?;No como valor automático. Sirve como antecedente, pero cada lote puede tener rellenos, humedad y estratos diferentes. Debe revisarse ubicación, profundidad, perfil y semejanza real.
Terreno y Estudio de Suelos;¿Qué error frecuente se comete con el uso de la capacidad portante del vecino?;El error frecuente es copiar un valor sin explorar el lote. Esto puede causar cimientos pequeños o sobredimensionados.
Terreno y Estudio de Suelos;¿Qué consecuencias puede tener el error de copiar un valor sin explorar el lote?;Este error puede generar cimientos pequeños o sobredimensionados. La acción correcta es obtener parámetros del propio terreno.
